fattening_day,doy,rad,mint,maxt,vpr,wind,rain,aha,okta,growth_start_date,growth_date,tbw_kg,genetic_potential_tbw_kg,feed_intake_kg_dm_day,feed1_available_kg_dm_day,feed2_available_kg_dm_day,feed3_available_kg_dm_day,feed4_available_kg_dm_day,beef_production_kg,beef_event_kg,me_uptake_mj_day,heat_production,genotype,heat_stress,cold_stress,digestion_cap,energy,protein,scale,breed,diet,sex_animal,housing,case_id
127,127,0,9.91353,23.78073,0.998,0.8,0.0,0.446375327,1.122297363,1998-01-01,1998-05-07,198.54401367631937,203.8242364716436,2.3320464935932574,0.11660232467966287,2.2154441689135944,0.0,0.0,79.54723435185568,0.0,21.195731558353245,7.446294896634278,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
128,128,0,12.25362,26.814179999999997,0.983,2.15,0.0,0.444491132,2.619643994,1998-01-01,1998-05-08,199.9381943968644,205.1404484944481,2.5620406822506347,0.12810203411253177,2.433938648138103,0.0,0.0,80.09005268182095,0.0,23.286125165923092,7.593778141936781,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
129,129,0,13.72701,28.11423,1.068,1.05,0.0,0.442670499,2.097595034,1998-01-01,1998-05-09,201.3564336058321,206.4570783519834,2.0460072896613757,0.10230036448306878,1.9437069251783068,0.0,0.0,80.64339374530687,0.0,19.044953857963236,6.90293076151962,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
130,130,0,12.25362,29.58762,1.163,0.9,0.0,0.440911866,1.043964497,1998-01-01,1998-05-10,202.64234909496105,207.77411409258917,1.849588415839992,0.09247942079199961,1.7571089950479923,0.0,0.0,81.1461992025274,0.0,17.216618051114537,6.203930232755987,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
131,131,0,14.68038,30.36765,1.238,0.95,0.0,0.439213724,1.328963142,1998-01-01,1998-05-11,203.51553708738922,209.09154378819466,1.83922318821991,0.09196115941099552,1.7472620288089145,0.0,0.0,81.8491620611231,0.0,17.120134874955173,6.255727095752966,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
132,132,0,15.027059999999999,29.58762,1.278,0.9,0.0,0.437574618,1.800990513,1998-01-01,1998-05-12,204.6793806562077,210.40935553458525,1.8521405467783816,0.0926070273389191,1.7595335194394626,0.0,0.0,82.30310452158822,0.0,17.240374181508948,6.2473353186199,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
133,133,0,15.547080000000001,28.72092,1.413,0.8,0.0,0.435993145,4.102718949,1998-01-01,1998-05-13,205.8396468341698,211.7275374516663,1.8300081113365174,0.09150040556682588,1.7385077057696916,0.0,0.0,82.75616640152955,0.0,17.034357705475568,6.155684910084811,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
134,134,0,15.89376,30.10764,1.558,1.2,0.0,0.434467955,3.001220608,1998-01-01,1998-05-14,206.9809277129398,213.04607768372432,1.9034070155887997,0.09517035077944,1.8082366648093597,0.0,0.0,83.20231464899159,0.0,17.71758046414967,6.291310090502314,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
135,135,0,17.45382,26.90085,1.273,1.7,0.0,0.432997745,1.599347096,1998-01-01,1998-05-15,208.14542632113088,214.36496439968636,2.2659405180100753,0.11329702590050378,2.1526434921095716,0.0,0.0,83.65801312374083,0.0,21.092169528649876,7.174023511522577,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
136,136,0,13.55367,23.43405,1.003,2.0,0.0,0.442558373,0.821201517,1998-01-01,1998-05-16,209.47102656320024,215.68418579337634,2.7741562786406693,0.13870781393203346,2.635448464708636,0.0,0.0,84.17734565433295,0.0,25.214022080832255,7.737590211657842,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
137,137,0,11.38692,23.60739,0.938,1.95,0.0,0.441066499,2.975116231,1998-01-01,1998-05-17,210.89759100676713,217.00373008376874,2.798145986993621,0.13990729934968105,2.65823868764394,0.0,0.0,84.73724266299254,0.0,25.432062081239316,7.747785566293901,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
138,138,0,11.126909999999999,23.69406,0.953,1.85,0.0,0.439631499,0.834834436,1998-01-01,1998-05-18,212.32244254551102,218.32358551524044,2.8221292262427413,0.14110646131213708,2.681022764930604,0.0,0.0,85.29770294847916,0.0,25.650043284624694,7.757969936021567,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
139,139,0,11.126909999999999,25.34079,1.013,1.25,0.0,0.438252101,0.966583969,1998-01-01,1998-05-19,213.74561440558313,219.64374035781918,2.8461044714823363,0.14230522357411682,2.7037992479082193,0.0,0.0,85.85872430492998,0.0,25.867951831276834,7.768140636180631,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
140,140,0,11.7336,25.77414,1.113,1.15,0.0,0.436927082,1.104349649,1998-01-01,1998-05-20,215.16713827917278,220.9641829074311,2.3684494454850373,0.11842247227425187,2.2500269732107854,0.0,0.0,86.42030451851713,0.0,22.04635859906764,6.981657314012292,0.0,4.5,0.0,0.0,0.0,0.0,1,6,5,0,0,5
141,141,0,14.16036,25.25412,1.198,1.55,0.0,0.435655264,2.430275681,1998-01-01,1998-05-21,216.1427174846983,222.28490148614316,2.888927714843563,0.14444638574217816,2.7444813291013848,0.0,0.0,87.20726047215129,0.0,26.257167901040546,7.796882261072872,5.5,0.0,0.0,0.0,0.0,0.0,1,6,5,0,0,5
